"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"916421636","D925E2BDDB933B7D17254ED365841750","Alan S","alansB9248MS","https://www.tripadvisor.com/Profile/alansB9248MS","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/ca/default-avatar-2020-51.jpg","","No","5","Value: 5
Service: 5
Food: 5","UK view of great French family restaurant. Completely full on a Wednesday evening.","We were only UK couple in all French restaurant...the type which is sadly disappearing from tourist towns. Food fabulous, staff great, service was outstanding...only one sitting per night, a rarity these days, and very very good value. ","0","","COUPLES","2023-09-30","2023-09-13","2023-09-13","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r916421636-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"907451375","C24978EDF52A91D9298A93081EA4AB39","henrikalbrektson","henrikalbrektson","https://www.tripadvisor.com/Profile/henrikalbrektson","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","Alingsas","No","5","","Excellent cooking","Very cozy environment with great service. The A la Carte menu was very interesting and the quality of the cooking excellent. I can really recommend this place if you enjoy high quality food and friendly atmosphere!","0","","FAMILY","2023-08-31","2023-08-02","2023-08-02","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r907451375-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"854787455","EFD4FAAB010F373F8DE5E58B9C5FE7B0","Darren G","L8818XVdarreng","https://www.tripadvisor.com/Profile/L8818XVdarreng","https://media-cdn.tripadvisor.com/media/photo-o/25/50/8c/85/l8818xvdarreng.jpg","","No","5","","Highly recommended","Welcoming, attentive staff, perfect wine recommendations and absolutely outstanding food at a very reasonable price. Our family loved this place and we would highly recommend it. Just amazing.","0","","FAMILY","2022-08-31","2022-08-18","2022-08-17","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r854787455-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"841307858","F7E8CB85701180BFEC7D55EB51B4417E","Katerina S","KaterinaS482","https://www.tripadvisor.com/Profile/KaterinaS482","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/59/default-avatar-2020-49.jpg","St Helier","No","5","","Perfect","Found by chance while walking in St Brieuc. Lovely staff, great food and amazing ambience. They even accommodated my partner's vegetarian needs. Merci beaucoup!","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/23/b3/59/23/caption.jpg","COUPLES","2022-06-30","2022-06-03","2022-06-03","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r841307858-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"750089212","5030733F09044C954B9506572CA38394","ruslanruslan75","ruslanruslan75","https://www.tripadvisor.com/Profile/ruslanruslan75","https://media-cdn.tripadvisor.com/media/photo-o/11/e3/d7/5d/ruslanruslan75.jpg","Paris","No","5","Value: 5
Service: 5
Food: 5","A place to eat in Saint-Brieuc","It is quite difficult to find a nice place to eat in Saint-Brieuc, and this is why I was very surprised when I found this restaurant among all the kebab and pizza restaurants of Saint-Brieuc.  
Nice cozy place with two floors, helpful staff, delicious food, and really affordable prices (average bill for a lunch with wine for 2 people is 45€).
And this restaurant is also in the Michelin guide of 2018 and 2019.
Also, the place is dog friendly :)","1","","NONE","2020-03-31","2020-03-09","2020-03-09","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r750089212-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"692845449","CDA4CC2B0BA478499D1E2219C0C16BCA","RSLJ","Dineradeux","https://www.tripadvisor.com/Profile/Dineradeux","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e6/ea/default-avatar-2020-54.jpg","","No","5","","Excellent!","Delicious food and great service! Looked after us brilliantly even though we didn’t have long for lunch. Excellent pork, sauce on point, vegetables perfect . Merci!","0","","FAMILY","2019-07-31","2019-07-26","2019-07-26","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r692845449-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"675709652","9A3FCC1527E47BD475D94E0F6FF414AF","Alan F","ulysses4","https://www.tripadvisor.com/Profile/ulysses4","https://media-cdn.tripadvisor.com/media/photo-o/29/75/b6/7e/alan-f.jpg","Westfield","No","4","Value: 4
Service: 4
Food: 4","Savvy Choice","One of Michelin's few picks in town and a wise one. The ambiance is pleasing, the welcome is cordial, and most importantly, the cooking is to a high standard. Of course, with one meal you can't fully assess a restaurant's strengths and weaknesses. Our fish (Saint Pierre) was beautifully cooked in a Staub pot along with a fine array of vegetables. Simple, but the flavors matched perfectly.

A chocolate dish was also straightforward, but of high quality. As restaurants adapt to people drinking less, I wish they would offer a larger array of half bottles. A decent Chablis was one of the very few choices of a suitable white wine.

A very good, moderately priced restaurant.","1","","COUPLES","2019-05-31","2019-05-22","2019-05-22","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r675709652-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"620616428","A03A9F9DD67899F304A503526538EB92","Brizzytravel","Brizzytravel","https://www.tripadvisor.com/Profile/Brizzytravel","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg","Brisbane","No","5","","Tres bon","As we were not arriving in town until 4 pm on Saturday I booked this restaurant some weeks ago and so pleased I did, it was full. The formula menu only has a choice of two and the carte offers enough choice to suit. We opted for the formula at 19 euros choosing rabbit terrine, veal casserole and a citrus dessert. All three courses were delicious and full of flavour as you would expect from a Michelin rated bibi
I highly recommend this fine establishment","0","","COUPLES","2018-09-30","2018-09-30","2018-09-30","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r620616428-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"612644242","9ED40A674C6ACFFC7492C39AB1B798C9","Anne S","Anne_Sand_11","https://www.tripadvisor.com/Profile/Anne_Sand_11","https://media-cdn.tripadvisor.com/media/photo-o/03/6a/45/fe/anne-s.jpg","Guernsey","No","4","","Welcoming little moderately priced restaurant","My partner and I stayed at the nearby Hotel de Clisson in the same quiet side street just off the town centre. We dined here the first night of our holiday and enjoyed our meal so much that we returned later in the week.

We were given a friendly welcome both evenings. The restaurant which is fairly small but has an upper floor, was busy so we were fortunate to have booked a table. It seemed to be popular with locals - always a good sign and we didn’t hear any other English speaking diners. We speak some French although English is understood by the staff.

The 17.90 Euro three course menu is good value with plenty of choice. The restaurant specialises in casseroles served in a cast iron pot (‘cocotte’) for both fish and meat dishes, served with vegetables in a bouillon. This is left on the table and you help yourself. An ‘amuse-bouche’ (no charge) is served whilst you are choosing from the menu or with an aperitif. On our second visit it included olives and crispy radish. As a starter I particularly enjoyed the home-made gazpacho especially the delicious and inventive beetroot and raspberry vinegar version. The desserts included a tasty apricot panna cotta on our second visit. The only disappointment was my partner’s cheese plateau which only had a selection of two small strips of cheese with a heap of lettuce!

During our week long stay in Saint-Brieuc L’Air du Temps was our favourite restaurant that we visited.

","1","","COUPLES","2018-08-31","2018-08-31","2018-08-31","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r612644242-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
"591743072","584154E06A2CC3D96B1AE728EAE82329","VirginiaHanden","VirginiaHanden","https://www.tripadvisor.com/Profile/VirginiaHanden","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/a9/default-avatar-2020-50.jpg","Christchurch","No","5","","Amazing Service! Amazing food quality!","This restaurant is very original, I enjoyed the beautiful decorations and the paintings by an artist who exposes them in the restaurant. The restaurant had a huge collection of wine and a large menu for offer, the food was very authentic and tasted spectacular! They had a lot of different tastes in one item which blended together really well.
I was served by a young intern who was working there for a week and she knew exactly what she was doing and was doing a fantastic job. 
The workers were extremely friendly and never had anything less than a smile one their face. 
I would highly recommend this place to anyone in the area!","0","","SOLO","2018-06-30","2018-06-29","2018-06-29","en","L'Air du Temps","1379455","https://www.tripadvisor.com/ShowUserReviews-g196534-d1379455-r591743072-L_Air_du_Temps-Saint_Brieuc_Cotes_d_Armor_Brittany.html"
