Date,Author,Content,URL,Rating,Language,source_file
2023-09-10,qscofr1,Really my expectations was high and it was according it. I feel a great place with a great rustic environment but with amazing surprises on the food and amazing set of glasses and dishes.  We have a chance to see how everything was prepared and I can describe how good was everything. This kind of food is not the daily one but it is a composition of flavours combined with textures on a proper way moving to a new way. Probably will come back on important moments on my life because really everything was perfect.   ,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r915797481-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2023-06-18,Tom C,"The food was not only excellent but clever, innovative and at times challenging. An amazing experience for a foodie!!! Can't thank the chef and the service team enough. They were all personable and treated us like royalty! I will be recommending the experience to colleagues and friends for a long time to come. ",https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r895722683-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2019-09-05,celo6888,Excellent lunch deal. The food was excellent as well as the service. Cannot wait to go back and try the tasting menu.,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r706942496-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2019-05-11,Soren_han,From start to finish we experienced fantastic service and everything was served with a smile and any question to well explained dishes was answered fully. (In English) differently a place we will visit again:-),https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r673298782-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2019-03-12,Svaine,"The tasting menu was surprising, very tasty and well presented. I'm allergic to oyster and the kitchen did accommodate the menu accordingly. The atmosphere is rustic but well thought in term of ""privacy"". The service was great but little mistakes were made that should not happen in a 2 stars restaurant.",https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r657971957-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,4,en,person_2_removed_line_breaks
2018-12-27,Vinhoquevale,The restaurant is just a couple of miles outside of Pamplona. It is located in the countryside. Peaceful atmosphere. Amazing to arrive at the table and meet only napkins (and nothing more). The lights are well positioned. The menu degustación is incredible. The milk biscuits with truffled icecream closes the experience. It combines tradition and vanguard. Amazing. Service top-notch. A bit expensive.,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r641827029-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2018-11-03,ArthurWang095,"I come here at least once a year. It surprises me every time with great & new gourmet & service. It makes a lot sense & reason why it is Michelin starred for more than 10 years consecutively from the gourmet creativities as well as wine pairing. This time I have too many new dishes plus the signature ones. The sardine in all forms with rosemary smoke, the molecular scallops, the goose liver with cauliflower paste & sauce, truffle with slow cooked pI grin and the signature vinegar cucumber & molecular oyster. The ending ice cream surprised us by its combination of tea sorbet & many flavors. Service is perfect with great explanation. Definitely always an adventure & enjoyment in its gastronomy tour.  很多年了，一年至少來一次。每次來都因為新菜和一流服務而大為驚訝，難怪是超過十年的連年得獎米其林餐廳，因為他創意又紮實的美食、配酒和服務，這次又都是新菜，沙丁魚解構後配上rosemary的煙，分子解構的帶子，鵝肝配上白花椰菜湯及醬，松露佐低溫烹調的鴿子肉，還有他著名的醋黃瓜和蚵仔氮氣粒，甜點的冰淇淋也讓我們驚豔因為加上茶的冰沙和其他味道而超好吃又不甜，服務一流，說菜完美，每次來都變成美食的探索和非常享受。 ",https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r630484040-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2018-09-24,Barbara A,"Probably the best lunch ever.  As David himself was preparing it, everything tasted and looked as it should.  Fantastic.   The service was friendly and expert.  A really memorable lunch which is worth a big detour.",https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r619225125-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2017-07-05,Alexina G,We had lunch at El Molino de Urdaniz today.  It was on of the best meals we have ever had.  The service was impeccable and the quality and flavour of the food could not be bettered.  We would recommend it to anyone.,https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r498823485-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
2017-06-23,Raul S,"20+ minutes away from Pamplona you will find this gem in the middle of nowhere. Unlike La Boscana in Bellvis, this country house with a stone facade does not give you any warning of the talent working in the kitchen. A Michelin star restaurant that must be visited if in the area. Carlos, our server, elevated the whole experience if that is possible.",https://www.tripadvisor.com/ShowUserReviews-g6412760-d3584780-r495324322-El_Molino_de_Urdaniz-Urdaniz_Navarra.html,5,en,person_2_removed_line_breaks
