"Review Id","User ID","Display Name","User Name","User Profile","User Avatar","User Location","User Is Verified","Rating","Additional Ratings","Review Title","Review Text","Helpful Votes","Photos","Trip Type","Stay Date","Created Date","Published Date","Language","Location","Location Id","URL"
"971168172","6987086C73B2D5612FC347A3212A8160","MP-IK31","MP-IK31","https://www.tripadvisor.com/Profile/MP-IK31","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/81/default-avatar-2020-43.jpg","Toulouse","No","5","","Everything... at the top","A unique experience that already begins with the discovery of a unique site after the ascent of the Col de Forclaz...then the welcome and installation by the Mistress of the House on a sunny terrace, in the middle of the...
But the pinnacle of the experience is of course on the plate: very high-quality, tasty dishes, intense juices, a cuisine both chiselled and generous based on local and seasonal products,
All in a smiling, cheerful and very professional service atmosphere that perfectly accompanies the achievements of a Grand Chef just as discreet as he is great 
A big Bravo, a big Thank you","0","","COUPLES","2024-09-30","2024-09-24","2024-09-24","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r971168172-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"970968532","F2B92B5167C21D56A359EF341E73D9EE","carole B","Y2169CFcaroleb","https://www.tripadvisor.com/Profile/Y2169CFcaroleb","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg","","No","5","","A delight!","Non-stop wonder whether in terms of taste or visual/creativity of the dishes offered! The service is very professional, sober without marketing overflow.","0","","FRIENDS","2024-09-30","2024-09-23","2024-09-23","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r970968532-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"970741617","F749C139B552CD8B10655F54FFDE6AA9","Régis B","112r_gisb","https://www.tripadvisor.com/Profile/112r_gisb","https://media-cdn.tripadvisor.com/media/photo-s/06/f7/ea/76/regis-b.jpg","Saint-Jorioz","No","5","","At the Hostel of Montmin, we are there because everything is divine....","The Col de la Forclaz crossed... we reach this discreet Hostel with hushed steps. The welcome is warm, cozy.... The premises are very cozy , all in subtlety with splendid views of the surrounding mountains.
Your bag, ma'am, will be welcome in a little attention of boiled wool by the fire.
The shared cocktail enchants us with subtle fragrances from the nearby nature.
Then, it is a succession of delicate dishes that only a forthcoming visit will allow you to share the feeling....
Throughout this journey, which combines taste discoveries and eye pleasures, everything is perfect, divine:
Efficient and harmonious service.
The sweet descriptions that invite our taste buds to begin this tender gourmet journey.
Bread produced by the chef ..... Real killing.
The advice of Camille who shares her passion for the good bottles of our wine regions.
A special mention for tomato pie which is a real work of art in terms of presentation. 
Count 360 euros per person for this unique menu, with cocktail, and a Menetou Salon.
These beautiful moments made us forget that we had to leave this prestigious Hostel because we felt at our best.
But to come back to it better....you have to decide to leave...
Congratulations ,Sandrine and Florian for this intense work that filled us.
See you very soon....","0","https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/53/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/96/9b/54/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/55/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/56/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/57/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/58/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/59/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5a/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5b/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5c/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/5f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/60/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/62/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/96/9b/63/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/96/9b/64/caption.jpg","COUPLES","2024-09-30","2024-09-21","2024-09-21","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r970741617-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"968858151","7E95E17CEBA9F23FA9A0D0D38B4A4F8F","sophie-tote","sophie-tote","https://www.tripadvisor.com/Profile/sophie-tote","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg","","No","5","Value: 4
Service: 5
Food: 5
Atmosphere: 5","Pleasure of the eyes and taste buds","Once again the pleasure is there.
Pleasure of the eyes and taste buds.
Although we don't know our menu in advance, we trust the chef to sublimate the right local products.
With our eyes closed, we let ourselves be guided by the sommelier who advises us perfectly.
The whole team is taking care.
Sure, we'll be back!","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/67/95/c7/caption.jpg","COUPLES","2024-09-30","2024-09-08","2024-09-08","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r968858151-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"968498275","4FC1FE9CFC9556EB5B0D6B9BAFAC412A","LILI","Odyssey17905604830","https://www.tripadvisor.com/Profile/Odyssey17905604830","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/77/ae/default-avatar-2020-2.jpg","France","No","4","","THE BEST PRESENTATIONS","What we see from the appetizers is that Chef Florian Favario has a sense of detail! The dishes are presented on walnut containers designed by the chef himself (incredible?). The room is intimate, our favorite style, but unfortunately a little noisy. 
On the dishes there are many flowers, plants, fruits, all worked with noble products. Tomato pie could be a birthday cake, of such beauty! 
The negatives: if the third star is envisaged, you will have to review the toilet... There is no special attention for an event to celebrate and the menu is not printed (for those who like to keep it as a souvenir it will be sent to you by email). The Chef is present in the room throughout the meal, but does not come to see his guests at the end. For those who love gastronomy this moment of rewarding exchange is not negligible! 
The two desserts we had were almost identical in terms of taste, presentation and even texture: there is one too many that should be replaced by cuteness (which we do not have with hot drinks). 
I conclude with a very positive Rating: the team! All employees are amazingly kind, welcoming and kind! They work with a smile and make this moment even more enjoyable! Congratulations to Sandrine, the Chef’s wife, who manages her team perfectly! A faultless service, bravo!","2","https://media-cdn.tripadvisor.com/media/photo-w/2d/5e/4f/8d/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/8e/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/8f/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/90/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/91/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5e/4f/92/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5e/4f/93/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5e/4f/94/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/95/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5e/4f/96/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/2d/5e/4f/97/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-o/2d/5e/4f/98/caption.jpg","COUPLES","2024-09-30","2024-09-06","2024-09-05","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r968498275-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"965152397","1B5C26B9DE9F84138A1BB857F1E7E034","Nicole R","F6303EUnicoler","https://www.tripadvisor.com/Profile/F6303EUnicoler","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/3d/default-avatar-2020-55.jpg","","No","5","Value: 5
Service: 5
Food: 5
Atmosphere: 5","A wonderful moment","A wonderful journey of taste. An explosion of colors and flavors. A very good time. Florian Favario is a true artist surrounded by a beautiful team.","0","","FRIENDS","2024-08-31","2024-08-16","2024-08-16","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r965152397-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"957320516","03D59BCFA16D7139FBB8445AD0218CFB","Maurice","MikkeeDee","https://www.tripadvisor.com/Profile/MikkeeDee","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg","","No","5","","First time","Excellent experience!
We were already curious to come when getting your first star 

We missed the boat, but it was to our delight.
Remarkable table, dish of great finesse.

We will return with friends, fans of beautiful tables.","0","","COUPLES","2024-06-30","2024-06-30","2024-06-29","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r957320516-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"955554455","0979AA47B749029DD5E3898331C2186D","Tranberissimo","Tranberissimo","https://www.tripadvisor.com/Profile/Tranberissimo","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/91/default-avatar-2020-62.jpg","Rouen","No","5","","Remarkable culinary experience!","A fantastic culinary experience, incredible precision and exceptional balance! Each dish brings its share of surprises, the service is incredibly fluid, the team is very warm and the atmosphere is just as warm. We can’t wait to come back and taste this cuisine again for another season! Thanks to Sandrine, Florian and the whole team for this unforgettable experience!","0","https://media-cdn.tripadvisor.com/media/photo-m/1280/2c/97/b7/d9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/da/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/db/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/dc/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/dd/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/de/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/df/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e0/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e1/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e2/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e7/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/e9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/ea/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2c/97/b7/eb/caption.jpg","COUPLES","2024-06-30","2024-06-17","2024-06-17","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r955554455-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"953312504","6354BE2FD63709F3ED6BC2135BBA8E26","Julien T","I9992YSjulient","https://www.tripadvisor.com/Profile/I9992YSjulient","https://media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/7b/default-avatar-2020-6.jpg","","No","5","","When will the third star arrive?","What an experience this dinner in this magnificent place..
A culinary discovery throughout the meal, which has nothing to envy of some 3-stars.
Magical counter for assembling dishes in the room.
Good luck to the whole team","0","","COUPLES","2024-05-31","2024-06-01","2024-06-01","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r953312504-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
"950424866","6B1C91123B731BB35F6554AFF047B467","OLIVIA L","Theburners","https://www.tripadvisor.com/Profile/Theburners","https://media-cdn.tripadvisor.com/media/photo-s/02/c1/7e/ae/theburners.jpg","Lyon","No","5","","An exceptional trip","An outdoor lunch, discovery of the spring menu for an exceptional taste journey. Amazement from the first to the last minute. A delight for the taste buds in an enchanting setting. Thank you to the entire team for your smiles, your kindness, your kindness, your friendliness, your support throughout this beautiful journey, and of course your professionalism. We will come back to discover the other seasons. See you soon! And thank you again for this delicious moment.","0","","FAMILY","2024-05-31","2024-05-11","2024-05-11","en","L'auberge De Montmin","17727911","https://www.tripadvisor.com/ShowUserReviews-g3528948-d17727911-r950424866-L_auberge_De_Montmin-Montmin_Haute_Savoie_Auvergne_Rhone_Alpes.html"
