Date,Author,Content,URL,Rating,Language
2024-10-31,Hal McCallum,"We were so lucky to get a table here! We had booked Meta but for the wrong date! The lady called Seroja, who had a cancellation! The menu was set all around Malaysian produce. Along with this, we sat within feet of the Pass, as well as the prep area for all the amazing puddings! Chef Kevin talked us through his ideas,explaining what the menu flowed as it did. When we told him our tale of errors, he laughed, saying he helped set up Meta!!",https://www.tripadvisor.com/ShowUserReviews-g294265-d25239766-r978189169-Seroja-Singapore.html,5,en
2024-07-02,Travel16441239276,"This place is terrible! The service is really slow and the food is disappointing. There were many annoying distracting things around me, and when I was eating, I felt like I was in a restaurant full of pigs. It was very dirty as well.",https://www.tripadvisor.com/ShowUserReviews-g294265-d25239766-r957641691-Seroja-Singapore.html,1,en
2023-12-19,nathalie g,"Push open the doors of this chic and refined place for a magnificent gustatory journey. Inspired by the book ""The food of Singapore Malays"" from Khir Johari , this cuisine with its original blend of flavors literally bewitched me. I only have one regret: I don't live in Singapore so I can go there more often! ",https://www.tripadvisor.com/ShowUserReviews-g294265-d25239766-r930268308-Seroja-Singapore.html,5,en
2023-06-28,Astro Chris,"Wonderful Dinner! Visited with friends and enjoyed the menu with paired wines. The dinner was really wonderful. Service was smooth, attentive and the chefs and service team chatted and explained the menu clearly. One of the best dinners have had in a long time. Educational & great dining experience.",https://www.tripadvisor.com/ShowUserReviews-g294265-d25239766-r898535293-Seroja-Singapore.html,5,en
2024-10-26,Shirley H,My friend and I spent 4 days  in Girona. Amazing food and cultural visits. We went on a Games Of Thrones Tour. Our guide was Brilliant,https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r976687479-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
2024-09-30,Rajamora,"This elegant but ungrandiose 3-Michelin star dining establishment a joint continuing hospitality project of the three Roca brothers Joan (head chef), Josep (sommelier) and Jordi (pastry chef) , built on the foundation of their parents’ modest restaurant featuring Catalan cuisine.  The 45-customer restaurant continues the Catalonian focus but given spectacular depth and scope by Joan’s adaptive creativity.  Feasting on a signature degustacion offering like, say, the “Festival Menu” that we enjoyed, the questing diner understands why Joan’s impressively realized gustatory imaginings made El Celler de Can Roca one of the only four restaurants with multiple “Best Restaurant in the World” accolades - at par with Napa’s “The French Laundry” with two, and only behind the legendary “El Bulli” and Copenhagen’s “Noma” at five Firsts each.  The lagniappe to the experience was to encounter Joan himself three times during the night and engage him in increasingly playful interactions.  There is nothing like a great chef unencumbered by grandiosity but crowned with a wonderful sense of humor.",https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r972087809-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
2024-05-21,Anna M,"We travelled to Girona specifically to visit this restaurant.  We were so excited to get a reservation and built our trip around this visit.  We wanted to visit after seeing the Chef's Table episode on Netflix and were expecting something very special.  We have been to many Michelin restaurants with a few 3 star under our belts.  This experience was very average and does not align with what one would expect for a 3 star rating.  It was awkward from the moment we entered where there was no one at the front to greet us and we stood around looking for someone to help us out.  We thought maybe we came through the wrong door!!  Not a single question was asked of why we were there (Anniversary, Birthday, etc.) , where we were from, etc..  The restaurant itself is very nice - very comfortable setting with a beautiful natural landscape in the center and nicely spaced tables.  After sitting we waited a while again for the menu and water service, which in Europe I am OK with, but for a place like this it is not acceptable.  These are little things, but definitely not what is expected for a restaurant at this level.  We were at Disfrutar a few nights earlier and the service was exceptional and they made a real effort to appreciate that you were at their establishment.    As far as the menu goes we opted for the short menu - our mistake - if you do go be sure to get the longer experience because the timing isn't much longer and some key dishes are missing from the short menu - especially the desserts.  The food was good but nothing was exceptional.  Execution and quality of the ingredients is what you would expect, but nothing was good enough to talk to your friends about.  In fact, the main meat dish, which was a take on a beef Wellington, but used poultry elements was just not good and not incredibly original.  The ratio of the dough to the filling was off so there was more crust than needed and not a very tasty execution of the proteins.    The biggest letdown was the desserts, the primary reason we came, which were very average.  The first dish was an ensemble made from sheep's milk - this was pretty good and had a cone that had the scent of a sheep which made it kind of fun.  The next dish was confusing.  It was supposed to be a take on the memories from reading books, I think, where the aroma is supposed to based on the smell of old books.  We were given a splash of oil on the hands that was supposed to be this scent, which you licked before embarking on eating the dish.  The dish was not interesting and did not provide any sort of continuity both in flavor or texture and did not seem to align with the theme that was explained to us.  The dish also did not go well with the first dessert because both desserts were pretty heavy milk based recipes.  Finally - in fear of sounding pretentious, when I went to go to the restrooms I was super confused on where they were so I walked back and forth across the mirrored walls looking for the door, which ended my night in a similar way that it started - awkward...  Most Michelin restaurants walk you to the restrooms and ensure that you know your way around.  Our opinion is that El Celler de Can Roca is at a Michelin level but definitely not worth a special trip nor did the service or food stand out as anything special.  We have had more creative dishes both in presentation and flavor at many other restaurants and service was not on par with the other 2 and 3 star restaurants we have visited.  Even many of the one star restaurants had a more immersive and welcoming experience than El Celler de Can Roca.",https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r951771154-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,3,en
2024-05-04,Greg T,"We've tried for two years to get a booking as we've lost out to the bots, so we had high hopes for our one-year wedding anniversary dinner after staying up until midnight to get this booking (we got married near Girona, so this place had a lot of meaning.) We also chose to have our wedding dessert from rocambolesc last year so this restaurant meant so much to us. We actually told the staff this, and they didn't care at all!!!!. The last 3 Michelin-starred restaurant we ate at was HÉLÈNE DARROZE last month, and wow, did they bring out all the stops!!! (they made a special newspaper for us and as soon as we entered they told us how grateful they were to choose them to celebrate our lunch with them. From the moment we entered their restaurant, we were made to feel so special. At el celler de can rocca, however,  no one was made to feel special that we could see, especially us! . We chose to celebrate our one-year wedding anniversary here, and we truly regret this decision. We had even said before we would bring our wedding party back here for our ten years - sadly, we wouldn't even come back for petit fours.   When you choose to save and spend your hard-earned money at a 3-Michelin starred restaurant, which is at least £1000 for a couple, you would hope that you at least get greeted well. They couldn't even find out booking initially!   The food, in all honesty, was pretty boring, void of fun and personality, and everything had a foam or emulsion that tasted the same.  I've never felt the need to say something in a place like this, but I was so frustrated at the lack of attention to detail. When I excused myself and asked to speak to someone, I was met with excuses of how they were going to bring out a dessert for us. However, it was a little too late. The effort should have been made from the moment we arrived. I appreciated the apology, but it wasn't really heart felt.   This restaurant has no business holding three Michelin stars! That extra star is reserved for the wonderful restaurants that go the extra mile to make their guests feel special and appreciated.   I had hoped something special would happen at the end the meal to make up for the truly poor experience but it did not manifest.   take your money elsewhere to restaurants that do not rely on reputation.    A real, real, really wasted evening!!!!!!!!!!",https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r949511572-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,2,en
2024-04-18,LoSALVA,". . . It really is the best restaurant in the world. . . The experience is worth it. . . Excellent Tasting Menu with Pairing an opportunity to try food and drinks that you would otherwise not be able to access. . . One of the things you have to do at least once in your life. . . 100x100 experience recommended. . . Realment, és el millor Restaurant del Món . . . L'experiència val la pena . . . Excel·lent Menú Degustació amb Maridatge una ocasió per probar menjars i begudes que d'una altra manera no hi podries accedir . . . Una de les coses que s'han de fer almenys una vegada a la vida . . . Experiència 100x100 recomanable . . .",https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r947315218-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
2024-04-11,Wheretonextandbeyond,"Wow! The whole experience at this restaurant is sublime! The food, the service, the spectacle, the ambiance! We could not fault it! It’s definitely a special occasion restaurant as the price indicates but was certainly worth every penny…loved everything about it and the icing on the cake was all three brothers were there and came to meet us at our table …what a lovely addition to a fantastic lunch",https://www.tripadvisor.com/ShowUserReviews-g187499-d996088-r946321909-El_Celler_de_Can_Roca-Girona_Province_of_Girona_Catalonia.html,5,en
