review_index,sentence_index,sentence,original_review,sample_index,index,char_count,Date,Author,URL,Rating,Language
1,1.1,An incredible experience.,"An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.2,"Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical.","An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.3,"Well, it was awesome food throughout the dinner.","An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.4,"Tasty and savors, tastes never tried before.","An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.5,"The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.","An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.6,Portion and the menu are well balance.,"An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.7,Service excellent with the chef in the room almost all the time.,"An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.8,Food: Excellent 5/5 Location: Excellent 5/5.,"An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.9,"Literally in a small castle... Quiet, romantic, stunning.","An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
1,1.10,Few people .,"An incredible experience.  Highly recommended (if you can afford it)  Like other commentators, I am also not a vegetarian  and when I saw the menu was skeptical. Well, it was awesome food throughout the dinner. Tasty and savors, tastes never tried before. The chef uses little known and local herbs, plants and vegetables,  masterfully combined in delicious dishes.  Portion and the menu are well balance. Service excellent with the chef in the room almost all the time.  Food: Excellent 5/5 Location: Excellent 5/5. Literally in a small castle... Quiet, romantic, stunning. Few people . Service: Excellent 5/5 Price: 3-4/5 this incredible experience comes at a steep price, even for Luxembourg.",1,1221,547,2024-01-21,A L,https://www.tripadvisor.com/ShowUserReviews-g1006484-d1015502-r934863178-La_Distillerie-Bourglinster.html,5,en
